experiment,host_monotonic_ns,device_timestamp_ms,axis,roll_deg,pitch_deg,relative_angle_deg,effective_error_deg,p_us,i_us,d_us,output_us,actual_pwm_us,saturated,in_deadband,mode
P_ONLY,30784841650800,889400,PITCH,-0.61,-1.24,0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30784935063200,889500,PITCH,-0.6,-1.22,0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30785028345300,889600,PITCH,-0.59,-1.23,0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30785136714100,889700,PITCH,-0.58,-1.24,0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30785230528400,889800,PITCH,-0.57,-1.23,0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30785338764200,889900,PITCH,-0.57,-1.24,0.01,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30785431311200,890000,PITCH,-0.57,-1.24,0.01,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30785541210900,890100,PITCH,-0.58,-1.24,0.01,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30785581091800,890200,PITCH,-0.57,-1.25,0.0,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30785741049200,890300,PITCH,-0.58,-1.25,0.0,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30785834642400,890400,PITCH,-0.58,-1.25,0.0,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30785928988000,890500,PITCH,-0.6,-1.24,0.01,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30786039172000,890600,PITCH,-0.59,-1.24,0.01,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30786131870700,890700,PITCH,-0.59,-1.24,0.01,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30786239425900,890800,PITCH,-0.6,-1.24,0.01,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30786330259600,890900,PITCH,-0.59,-1.24,0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30786438367100,891000,PITCH,-0.25,-1.22,0.11,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30786530381400,891100,PITCH,-0.24,-1.32,-0.08,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30786581123800,891200,PITCH,0.31,-0.52,0.84,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30786733312600,891300,PITCH,0.83,-0.3,0.9,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30786841211500,891400,PITCH,0.47,-1.58,-0.65,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
P_ONLY,30786934052100,891500,PITCH,0.3,-7.55,-7.02,-7.02,-7.02,0.0,0.0,-7,1493,0,0,PID_ATTITUDE
P_ONLY,30787028073900,891600,PITCH,1.26,-13.35,-12.6,-12.6,-12.6,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30787136247000,891700,PITCH,2.12,-18.48,-17.77,-17.77,-17.77,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30787229586900,891800,PITCH,0.88,-24.01,-23.23,-23.23,-23.23,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30787338771600,891900,PITCH,-0.2,-28.41,-27.64,-27.64,-27.64,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30787432071600,892000,PITCH,0.04,-33.84,-33.17,-33.17,-33.17,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30787539447300,892100,PITCH,0.47,-39.38,-38.42,-38.42,-38.42,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30787581142200,892200,PITCH,0.67,-40.49,-39.26,-39.26,-39.26,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30787727216900,892300,PITCH,0.64,-39.58,-37.88,-37.88,-37.88,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30787836405700,892400,PITCH,-0.38,-33.09,-31.11,-31.11,-31.11,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30787929286900,892500,PITCH,-1.27,-26.24,-24.4,-24.4,-24.4,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30788039557200,892600,PITCH,-1.42,-19.66,-17.72,-17.72,-17.72,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30788132692500,892700,PITCH,-1.53,-13.22,-11.38,-11.38,-11.38,0.0,0.0,-10,1490,1,0,PID_ATTITUDE
P_ONLY,30788241428900,892800,PITCH,-1.32,-7.69,-6.02,-6.02,-6.02,0.0,0.0,-6,1494,0,0,PID_ATTITUDE
P_ONLY,30788334822400,892900,PITCH,-1.2,-3.5,-1.83,-1.83,-1.83,0.0,0.0,-2,1498,0,0,PID_ATTITUDE
P_ONLY,30788537090400,893100,PITCH,-0.88,1.59,3.16,3.16,3.16,0.0,0.0,3,1503,0,0,PID_ATTITUDE
P_ONLY,30788630372300,893200,PITCH,-0.39,7.35,9.49,9.49,9.49,0.0,0.0,9,1509,0,0,PID_ATTITUDE
P_ONLY,30788680935400,893300,PITCH,-0.24,17.52,19.78,19.78,19.78,0.0,0.0,10,1510,1,0,PID_ATTITUDE
P_ONLY,30788832131000,893400,PITCH,-0.38,24.31,25.7,25.7,25.7,0.0,0.0,10,1510,1,0,PID_ATTITUDE
P_ONLY,30788939589200,893500,PITCH,-0.92,23.83,24.97,24.97,24.97,0.0,0.0,10,1510,1,0,PID_ATTITUDE
P_ONLY,30789032427400,893600,PITCH,-0.98,24.12,25.77,25.77,25.77,0.0,0.0,10,1510,1,0,PID_ATTITUDE
P_ONLY,30789139015500,893700,PITCH,-0.63,30.92,32.93,32.93,32.93,0.0,0.0,10,1510,1,0,PID_ATTITUDE
P_ONLY,30789234007600,893800,PITCH,-0.5,35.56,36.88,36.88,36.88,0.0,0.0,10,1510,1,0,PID_ATTITUDE
P_ONLY,30789327158100,893900,PITCH,-0.81,32.48,32.78,32.78,32.78,0.0,0.0,10,1510,1,0,PID_ATTITUDE
P_ONLY,30789435946600,894000,PITCH,-1.49,19.72,19.62,19.62,19.62,0.0,0.0,10,1510,1,0,PID_ATTITUDE
