elapsed_s,stage,host_monotonic_ns,device_timestamp_ms,axis,roll_deg,pitch_deg,relative_angle_deg,effective_error_deg,p_us,i_us,d_us,output_us,actual_pwm_us,saturated,in_deadband,mode
0.000000,00-120_STILL,36875648672900,87700,PITCH,-0.03,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
0.108941,00-120_STILL,36875757614200,87800,PITCH,-0.02,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
0.202657,00-120_STILL,36875851329600,87900,PITCH,-0.02,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
0.297108,00-120_STILL,36875945780800,88000,PITCH,-0.03,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
0.407005,00-120_STILL,36876055678100,88100,PITCH,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
0.499027,00-120_STILL,36876147700200,88200,PITCH,-0.03,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
0.608284,00-120_STILL,36876256956500,88300,PITCH,-0.04,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
0.702012,00-120_STILL,36876350684800,88400,PITCH,-0.05,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
0.748552,00-120_STILL,36876397225100,88500,PITCH,-0.05,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
0.904117,00-120_STILL,36876552790200,88600,PITCH,-0.04,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
0.998372,00-120_STILL,36876647045400,88700,PITCH,-0.03,-0.02,-0.05,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
1.107186,00-120_STILL,36876755858900,88800,PITCH,-0.03,-0.02,-0.05,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
1.198740,00-120_STILL,36876847413100,88900,PITCH,-0.01,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
1.308281,00-120_STILL,36876956954000,89000,PITCH,-0.01,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
1.403610,00-120_STILL,36877052283300,89100,PITCH,-0.02,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
1.497276,00-120_STILL,36877145948600,89200,PITCH,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
1.607094,00-120_STILL,36877255766900,89300,PITCH,-0.01,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
1.701376,00-120_STILL,36877350048500,89400,PITCH,-0.01,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
1.748157,00-120_STILL,36877396829700,89500,PITCH,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
1.903788,00-120_STILL,36877552460500,89600,PITCH,-0.02,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
1.996956,00-120_STILL,36877645628500,89700,PITCH,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
2.106342,00-120_STILL,36877755014500,89800,PITCH,-0.01,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
2.198695,00-120_STILL,36877847368100,89900,PITCH,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
2.308511,00-120_STILL,36877957184100,90000,PITCH,-0.01,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
2.403060,00-120_STILL,36878051733300,90100,PITCH,-0.02,0.02,-0.01,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
2.497096,00-120_STILL,36878145769300,90200,PITCH,-0.02,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
2.604772,00-120_STILL,36878253444800,90300,PITCH,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
2.698910,00-120_STILL,36878347582600,90400,PITCH,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
2.747699,00-120_STILL,36878396372400,90500,PITCH,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
2.902833,00-120_STILL,36878551505800,90600,PITCH,-0.03,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
2.995634,00-120_STILL,36878644306700,90700,PITCH,-0.02,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
3.103565,00-120_STILL,36878752237600,90800,PITCH,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
3.197182,00-120_STILL,36878845855300,90900,PITCH,-0.01,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
3.305370,00-120_STILL,36878954043200,91000,PITCH,-0.01,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
3.399867,00-120_STILL,36879048539600,91100,PITCH,-0.02,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
3.493443,00-120_STILL,36879142115900,91200,PITCH,-0.02,0.02,-0.01,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
3.602610,00-120_STILL,36879251282900,91300,PITCH,-0.02,0.02,-0.01,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
3.695091,00-120_STILL,36879343764200,91400,PITCH,-0.02,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
3.747552,00-120_STILL,36879396225000,91500,PITCH,-0.03,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
3.899642,00-120_STILL,36879548314700,91600,PITCH,-0.02,0.0,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
4.007692,00-120_STILL,36879656365100,91700,PITCH,-0.02,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
4.101913,00-120_STILL,36879750586000,91800,PITCH,0.0,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
4.195602,00-120_STILL,36879844275300,91900,PITCH,0.0,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
4.304079,00-120_STILL,36879952751900,92000,PITCH,0.0,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
4.398994,00-120_STILL,36880047666900,92100,PITCH,0.0,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
4.508234,00-120_STILL,36880156907200,92200,PITCH,0.0,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
4.601528,00-120_STILL,36880250200400,92300,PITCH,-0.01,-0.02,-0.05,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
4.695626,00-120_STILL,36880344298600,92400,PITCH,-0.02,-0.01,-0.05,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
4.747621,00-120_STILL,36880396294300,92500,PITCH,-0.03,-0.02,-0.05,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
4.895920,00-120_STILL,36880544592600,92600,PITCH,-0.03,-0.02,-0.05,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
5.005442,00-120_STILL,36880654115000,92700,PITCH,-0.03,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
5.099691,00-120_STILL,36880748364400,92800,PITCH,-0.02,-0.01,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
5.193548,00-120_STILL,36880842221300,92900,PITCH,-0.02,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
5.300032,00-120_STILL,36880948704800,93000,PITCH,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
5.393568,00-120_STILL,36881042241300,93100,PITCH,-0.03,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
5.502088,00-120_STILL,36881150760700,93200,PITCH,-0.02,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
5.596889,00-120_STILL,36881245562000,93300,PITCH,-0.02,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
5.705582,00-120_STILL,36881354255300,93400,PITCH,-0.02,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
5.747409,00-120_STILL,36881396081800,93500,PITCH,-0.01,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
5.906707,00-120_STILL,36881555380300,93600,PITCH,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
5.999541,00-120_STILL,36881648213600,93700,PITCH,-0.01,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
6.094074,00-120_STILL,36881742746600,93800,PITCH,-0.01,-0.03,-0.06,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
6.203100,00-120_STILL,36881851772400,93900,PITCH,-0.01,-0.03,-0.06,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
6.296866,00-120_STILL,36881945538500,94000,PITCH,-0.02,-0.03,-0.06,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
6.405513,00-120_STILL,36882054186400,94100,PITCH,-0.03,-0.02,-0.05,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
6.499766,00-120_STILL,36882148438800,94200,PITCH,-0.02,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
6.593089,00-120_STILL,36882241761900,94300,PITCH,-0.02,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
6.701373,00-120_STILL,36882350045700,94400,PITCH,-0.02,-0.02,-0.05,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
6.747115,00-120_STILL,36882395787800,94500,PITCH,-0.01,-0.01,-0.04,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
6.903076,00-120_STILL,36882551749200,94600,PITCH,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
6.996617,00-120_STILL,36882645290300,94700,PITCH,-0.02,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
7.106530,00-120_STILL,36882755203100,94800,PITCH,-0.02,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
7.199710,00-120_STILL,36882848383100,94900,PITCH,-0.02,0.02,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
7.307358,00-120_STILL,36882956031200,95000,PITCH,-0.02,0.01,-0.02,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
7.401362,00-120_STILL,36883050035300,95100,PITCH,-0.01,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
7.495619,00-120_STILL,36883144291700,95200,PITCH,-0.01,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
7.606163,00-120_STILL,36883254835800,95300,PITCH,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0,1500,0,1,PID_ATTITUDE
