build,object_file,source_module,flash_bytes,ram_bytes
Debug,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/tasks.c.obj,Middlewares/Third_Party/FreeRTOS/Source/tasks.c,5129,1280
Debug,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c,3396,0
Debug,CMakeFiles/MotionEdge-F103.dir/App/app_main.c.obj,App/app_main.c,3016,284
Debug,CMakeFiles/MotionEdge-F103.dir/Services/command_service.c.obj,Services/command_service.c,2874,1
Debug,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/queue.c.obj,Middlewares/Third_Party/FreeRTOS/Source/queue.c,2654,64
Debug,CMakeFiles/MotionEdge-F103.dir/Services/config_store.c.obj,Services/config_store.c,2434,100
Debug,CMakeFiles/MotionEdge-F103.dir/Services/control_service.c.obj,Services/control_service.c,2340,236
Debug,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_uart.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_uart.c,2188,0
Debug,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,2115,5056
Debug,CMakeFiles/MotionEdge-F103.dir/Services/motion_service.c.obj,Services/motion_service.c,1926,281
Debug,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_tim.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_tim.c,1702,0
Debug,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c,1686,0
Debug,CMakeFiles/MotionEdge-F103.dir/Algorithms/pid_controller.c.obj,Algorithms/pid_controller.c,1648,0
Debug,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c.obj,Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c,1490,1724
Debug,CMakeFiles/MotionEdge-F103.dir/Services/actuator_service.c.obj,Services/actuator_service.c,1424,57
Debug,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/timers.c.obj,Middlewares/Third_Party/FreeRTOS/Source/timers.c,1159,300
Debug,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,1086,909
Debug,CMakeFiles/MotionEdge-F103.dir/Services/telemetry_service.c.obj,Services/telemetry_service.c,1000,0
Debug,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_objects.c.obj,App/RTOS/rtos_objects.c,941,705
Debug,CMakeFiles/MotionEdge-F103.dir/Algorithms/attitude_estimator.c.obj,Algorithms/attitude_estimator.c,896,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-vfprintf_i.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-vfprintf_i.o),838,0
Debug,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_gpio.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_gpio.c,828,0
Debug,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_dma.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_dma.c,808,0
Debug,CMakeFiles/MotionEdge-F103.dir/Services/calibration_service.c.obj,Services/calibration_service.c,794,86
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_udivmoddi4.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_udivmoddi4.o),764,0
Debug,CMakeFiles/MotionEdge-F103.dir/BSP/bsp_i2c.c.obj,BSP/bsp_i2c.c,762,1
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-svfprintf.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-svfprintf.o),747,0
Debug,CMakeFiles/MotionEdge-F103.dir/BSP/bsp_uart.c.obj,BSP/bsp_uart.c,724,545
Debug,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/portable/GCC/ARM_CM3/port.c.obj,Middlewares/Third_Party/FreeRTOS/Source/portable/GCC/ARM_CM3/port.c,720,9
Debug,CMakeFiles/MotionEdge-F103.dir/Components/servo_actuator.c.obj,Components/servo_actuator.c,716,0
Debug,CMakeFiles/MotionEdge-F103.dir/Services/config_persistence.c.obj,Services/config_persistence.c,678,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),672,0
Debug,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/portable/MemMang/heap_4.c.obj,Middlewares/Third_Party/FreeRTOS/Source/portable/MemMang/heap_4.c,624,3104
Debug,CMakeFiles/MotionEdge-F103.dir/Devices/mpu6500.c.obj,Devices/mpu6500.c,622,0
Debug,CMakeFiles/MotionEdge-F103.dir/Middleware/logger.c.obj,Middleware/logger.c,617,397
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-sf_atan.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-sf_atan.o),588,0
