build,symbol,size,section,object_file,source_module,address
Debug,CommandService_Process,2324,.text.CommandService_Process,CMakeFiles/MotionEdge-F103.dir/Services/command_service.c.obj,Services/command_service.c,0x0800BD38
Debug,HAL_RCC_OscConfig,1040,.text.HAL_RCC_OscConfig,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c,0x08001064
Debug,HAL_I2C_Mem_Read,852,.text.HAL_I2C_Mem_Read,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c,0x08002914
Debug,__udivmoddi4,754,.text.__udivmoddi4,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_udivmoddi4.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_udivmoddi4.o),0x0800DDE4
Debug,ControlService_Update,752,.text.ControlService_Update,CMakeFiles/MotionEdge-F103.dir/Services/control_service.c.obj,Services/control_service.c,0x0800D558
Debug,PidController_IsConfigValid,728,.text.PidController_IsConfigValid,CMakeFiles/MotionEdge-F103.dir/Algorithms/pid_controller.c.obj,Algorithms/pid_controller.c,0x08006C30
Debug,PidController_Update,684,.text.PidController_Update,CMakeFiles/MotionEdge-F103.dir/Algorithms/pid_controller.c.obj,Algorithms/pid_controller.c,0x08006FD0
Debug,HAL_UART_IRQHandler,644,.text.HAL_UART_IRQHandler,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_uart.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_uart.c,0x08003284
Debug,_printf_i,576,.text._printf_i,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-vfprintf_i.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-vfprintf_i.o),0x0800E7C8
Debug,atanf,556,.text.atanf,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-sf_atan.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-sf_atan.o),0x0800DBB0
Debug,HAL_GPIO_Init,532,.text.HAL_GPIO_Init,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_gpio.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_gpio.c,0x080016BC
Debug,MotionService_RunOnce,528,.text.MotionService_RunOnce,CMakeFiles/MotionEdge-F103.dir/Services/motion_service.c.obj,Services/motion_service.c,0x0800A55C
Debug,HealthTask,516,.text.HealthTask,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x08007FD0
Debug,_svfiprintf_r,504,.text._svfprintf_r,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-svfprintf.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-svfprintf.o),0x0800E4EC
Debug,_svfprintf_r,504,.text._svfprintf_r,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-svfprintf.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-svfprintf.o),0x0800E4EC
